jogo_id;jogo;data;fase;grupo;rodada;selecao;adversario;placar_selecao;placar_adversario;resultado;vencedor_jogo;foi_mata_mata;teve_prorrogacao;teve_penaltis;penaltis_selecao;penaltis_adversario;classificado;gols_pro;gols_contra;xg_pro;xg_contra;xg_diff;posse_pct;finalizacoes;finalizacoes_contra;finalizacoes_alvo;finalizacoes_alvo_contra;grandes_chances;grandes_chances_contra;defesas_goleiro;gols_evitados_goleiro;faltas_cometidas;faltas_sofridas;cartoes_amarelos;cartoes_vermelhos;impedimentos;escanteios;gols_bola_parada;gols_contra_ataque;gols_penalti;gols_reservas;jogador_destaque;rating_jogador_destaque;goleiro_destaque;rating_goleiro;tipo_desempenho;observacao_analitica;fonte_principal;fonte_secundaria;nivel_confianca;data_acesso
GA01_1;1;2026-06-11;Fase de grupos;A;1;México;África do Sul;2;0;Vitoria;México;Nao;Nao;Nao;;;Sim;2;0;;;;;;;;;;;;;;;;;;;;;;;Julián Quiñones;;Raúl Rangel;;vitoria_clinica;"Quiñones abriu o placar e Jiménez ampliou; México controlou a estreia.";data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
GA01_1;1;2026-06-11;Fase de grupos;A;1;África do Sul;México;0;2;Derrota;México;Nao;Nao;Nao;;;Sim;0;2;;;;;;;;;;;;;;;;;;;;;;;Ronwen Williams;;Ronwen Williams;;defesa_vazada;África do Sul terminou com nove jogadores após duas expulsões.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
GA01_2;2;2026-06-11;Fase de grupos;A;1;Coreia do Sul;Tchéquia;2;1;Vitoria;Coreia do Sul;Nao;Nao;Nao;;;Nao;2;1;;;;;;;;;;;;;;;;;;;;;;;Hwang In-beom;;Kim Seung-gyu;;eficiencia_alta;"Virada com Hwang In-beom e Oh Hyeon-gyu; o reserva Oh decidiu a partida.";data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
GA01_2;2;2026-06-11;Fase de grupos;A;1;Tchéquia;Coreia do Sul;1;2;Derrota;Coreia do Sul;Nao;Nao;Nao;;;Nao;1;2;;;;;;;;;;;;;;;;;;;;;;;Ladislav Krejčí;;Matěj Kovář;;eficiencia_baixa;A Tchéquia saiu na frente, mas cedeu a virada no fim.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
GC01_5;5;2026-06-13;Fase de grupos;C;1;Escócia;Haiti;1;0;Vitoria;Escócia;Nao;Nao;Nao;;;Nao;1;0;;;;;;;;;;;;;;;;;;;;;;;John McGinn;;;;vitoria_clinica;McGinn garantiu a vitória mínima da Escócia.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Media;2026-06-30
GC01_5;5;2026-06-13;Fase de grupos;C;1;Haiti;Escócia;0;1;Derrota;Escócia;Nao;Nao;Nao;;;Nao;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;eficiencia_baixa;O Haiti competiu, mas não pontuou na estreia.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Media;2026-06-30
GC01_7;7;2026-06-13;Fase de grupos;C;1;Brasil;Marrocos;1;1;Empate;Empate;Nao;Nao;Nao;;;Sim;1;1;;;;;;;;;;;;;;;;;;;;;;;Vinícius Júnior;;Alisson;;desempenho_equilibrado;Vinícius marcou em duelo equilibrado contra um adversário forte.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
GC01_7;7;2026-06-13;Fase de grupos;C;1;Marrocos;Brasil;1;1;Empate;Empate;Nao;Nao;Nao;;;Sim;1;1;;;;;;;;;;;;;;;;;;;;;;;Ismael Saibari;;Bono;;desempenho_equilibrado;Saibari respondeu e confirmou o alto nível do Marrocos.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
GA02_25;25;2026-06-18;Fase de grupos;A;2;Tchéquia;África do Sul;1;1;Empate;Empate;Nao;Nao;Nao;;;Nao;1;1;;;;;;;;;;;;;;;;;;;;;;;Michal Sadílek;;Matěj Kovář;;dominio_sem_converter;Sadílek abriu cedo, mas a Tchéquia sofreu empate em pênalti no fim.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
GA02_25;25;2026-06-18;Fase de grupos;A;2;África do Sul;Tchéquia;1;1;Empate;Empate;Nao;Nao;Nao;;;Sim;1;1;;;;;;;;;;;;;;;;;;;;;;;Teboho Mokoena;;Ronwen Williams;;eficiencia_baixa;Mokoena converteu pênalti decisivo para manter a equipe viva.;data/resultados_reais.csv;Pesquisa aprofundada da Copa do Mundo FIFA 2026.pdf;Alta;2026-06-30
