jogo,data,fase,equipe1,equipe2,placar_rede_neural_puro,vencedor_rede_neural_puro
1,2026-06-11,Fase de grupos,México,África do Sul,2-0,México
2,2026-06-11,Fase de grupos,Coreia do Sul,Tchéquia,2-1,Coreia do Sul
3,2026-06-12,Fase de grupos,Canadá,Bósnia e Herzegovina,2-1,Canadá
4,2026-06-12,Fase de grupos,Estados Unidos,Paraguai,4-1,Estados Unidos
5,2026-06-13,Fase de grupos,Haiti,Escócia,0-1,Escócia
6,2026-06-13,Fase de grupos,Austrália,Turquia,1-1,Austrália
7,2026-06-13,Fase de grupos,Brasil,Marrocos,1-1,Brasil
8,2026-06-13,Fase de grupos,Catar,Suíça,1-1,Suíça
9,2026-06-14,Fase de grupos,Costa do Marfim,Equador,1-0,Costa do Marfim
10,2026-06-14,Fase de grupos,Alemanha,Curaçao,5-0,Alemanha
11,2026-06-14,Fase de grupos,Países Baixos,Japão,2-1,Países Baixos
12,2026-06-14,Fase de grupos,Suécia,Tunísia,5-1,Suécia
13,2026-06-15,Fase de grupos,Arábia Saudita,Uruguai,1-1,Arábia Saudita
14,2026-06-15,Fase de grupos,Espanha,Cabo Verde,0-0,Espanha
15,2026-06-15,Fase de grupos,Irã,Nova Zelândia,2-2,Nova Zelândia
16,2026-06-15,Fase de grupos,Bélgica,Egito,1-1,Egito
17,2026-06-16,Fase de grupos,França,Senegal,3-1,França
18,2026-06-16,Fase de grupos,Iraque,Noruega,1-3,Noruega
19,2026-06-16,Fase de grupos,Argentina,Argélia,3-0,Argentina
20,2026-06-16,Fase de grupos,Áustria,Jordânia,3-1,Áustria
21,2026-06-17,Fase de grupos,Gana,Panamá,1-0,Gana
22,2026-06-17,Fase de grupos,Inglaterra,Croácia,4-2,Inglaterra
23,2026-06-17,Fase de grupos,Portugal,RD Congo,1-0,Portugal
24,2026-06-17,Fase de grupos,Uzbequistão,Colômbia,1-3,Colômbia
25,2026-06-18,Fase de grupos,Tchéquia,África do Sul,1-1,Tchéquia
26,2026-06-18,Fase de grupos,Suíça,Bósnia e Herzegovina,4-1,Suíça
27,2026-06-18,Fase de grupos,Canadá,Catar,5-1,Canadá
28,2026-06-18,Fase de grupos,México,Coreia do Sul,1-0,México
29,2026-06-19,Fase de grupos,Brasil,Haiti,3-0,Brasil
30,2026-06-19,Fase de grupos,Escócia,Marrocos,0-1,Marrocos
31,2026-06-19,Fase de grupos,Turquia,Paraguai,0-1,Paraguai
32,2026-06-19,Fase de grupos,Estados Unidos,Austrália,2-0,Estados Unidos
33,2026-06-20,Fase de grupos,Alemanha,Costa do Marfim,2-1,Alemanha
34,2026-06-20,Fase de grupos,Equador,Curaçao,0-0,Equador
35,2026-06-20,Fase de grupos,Países Baixos,Suécia,5-1,Países Baixos
36,2026-06-20,Fase de grupos,Tunísia,Japão,0-3,Japão
37,2026-06-21,Fase de grupos,Uruguai,Cabo Verde,2-2,Uruguai
38,2026-06-21,Fase de grupos,Espanha,Arábia Saudita,4-0,Espanha
39,2026-06-21,Fase de grupos,Bélgica,Irã,0-0,Irã
40,2026-06-21,Fase de grupos,Nova Zelândia,Egito,1-3,Egito
41,2026-06-22,Fase de grupos,Noruega,Senegal,3-2,Noruega
42,2026-06-22,Fase de grupos,França,Iraque,2-0,França
43,2026-06-22,Fase de grupos,Argentina,Áustria,1-0,Argentina
44,2026-06-22,Fase de grupos,Jordânia,Argélia,1-2,Argélia
45,2026-06-23,Fase de grupos,Inglaterra,Gana,0-0,Inglaterra
46,2026-06-23,Fase de grupos,Panamá,Croácia,0-1,Croácia
47,2026-06-23,Fase de grupos,Portugal,Uzbequistão,5-0,Portugal
48,2026-06-23,Fase de grupos,Colômbia,RD Congo,1-0,Colômbia
49,2026-06-24,Fase de grupos,Escócia,Brasil,0-3,Brasil
50,2026-06-24,Fase de grupos,Marrocos,Haiti,4-1,Marrocos
51,2026-06-24,Fase de grupos,Suíça,Canadá,2-1,Suíça
52,2026-06-24,Fase de grupos,Bósnia e Herzegovina,Catar,3-1,Bósnia e Herzegovina
53,2026-06-24,Fase de grupos,Tchéquia,México,0-3,México
54,2026-06-24,Fase de grupos,África do Sul,Coreia do Sul,1-0,África do Sul
55,2026-06-25,Fase de grupos,Curaçao,Costa do Marfim,0-1,Costa do Marfim
56,2026-06-25,Fase de grupos,Equador,Alemanha,2-1,Equador
57,2026-06-25,Fase de grupos,Japão,Suécia,1-1,Japão
58,2026-06-25,Fase de grupos,Tunísia,Países Baixos,1-3,Países Baixos
59,2026-06-25,Fase de grupos,Turquia,Estados Unidos,2-2,Estados Unidos
60,2026-06-25,Fase de grupos,Paraguai,Austrália,0-0,Paraguai
61,2026-06-26,Fase de grupos,Noruega,França,1-2,França
62,2026-06-26,Fase de grupos,Senegal,Iraque,3-1,Senegal
63,2026-06-26,Fase de grupos,Egito,Irã,1-1,Egito
64,2026-06-26,Fase de grupos,Nova Zelândia,Bélgica,1-3,Bélgica
65,2026-06-26,Fase de grupos,Cabo Verde,Arábia Saudita,0-2,Arábia Saudita
66,2026-06-26,Fase de grupos,Uruguai,Espanha,3-2,Uruguai
67,2026-06-27,Fase de grupos,Panamá,Inglaterra,0-1,Inglaterra
68,2026-06-27,Fase de grupos,Croácia,Gana,0-0,Croácia
69,2026-06-27,Fase de grupos,Argélia,Áustria,2-2,Argélia
70,2026-06-27,Fase de grupos,Jordânia,Argentina,2-3,Argentina
71,2026-06-27,Fase de grupos,Colômbia,Portugal,3-2,Colômbia
72,2026-06-27,Fase de grupos,RD Congo,Uzbequistão,2-1,RD Congo
73,2026-06-28,16 avos de final,África do Sul,Canadá,2-2,África do Sul
74,2026-06-29,16 avos de final,Alemanha,Paraguai,1-1,Paraguai
75,2026-06-29,16 avos de final,Países Baixos,Marrocos,2-1,Países Baixos
76,2026-06-29,16 avos de final,Brasil,Japão,2-2,Brasil
77,2026-06-30,16 avos de final,França,Suécia,2-1,França
78,2026-06-30,16 avos de final,Costa do Marfim,Noruega,2-2,Costa do Marfim
79,2026-06-30,16 avos de final,México,Equador,1-1,Equador
