jogo,data,fase,grupo,rodadaGrupo,equipe1,equipe2,xg1_modelo,xg2_modelo,placar_previsto,gols1_previsto,gols2_previsto,vencedor_previsto,prob_vitoria_equipe1,prob_empate,prob_vitoria_equipe2,confianca_modelo,peso_rede_neural,validacoes_anteriores_usadas,interacoes_monte_carlo,feature_rating_diff,feature_base_rating_diff,feature_attack_vs_defense,feature_defense_vs_attack,feature_midfield_diff,feature_goalkeeper_diff,feature_experience_diff,feature_league_diff,feature_player_quality_diff,feature_intensity_diff,feature_possession_diff,feature_pressing_diff,feature_momentum_diff,feature_performance_memory_diff,feature_offensive_form_diff,feature_defensive_form_diff,feature_offensive_form_equipe1,feature_offensive_form_equipe2,feature_defensive_form_equipe1,feature_defensive_form_equipe2,feature_schedule_strength_diff,feature_opponent_adjusted_points_diff,feature_goals_for_rate_diff,feature_goals_against_rate_diff,feature_opponent_weighted_goals_for_diff,feature_opponent_weighted_goals_against_diff,feature_weighted_goals_for_rate_diff,feature_adjusted_goals_against_rate_diff,feature_weighted_goals_for_rate_equipe1,feature_weighted_goals_for_rate_equipe2,feature_adjusted_goals_against_rate_equipe1,feature_adjusted_goals_against_rate_equipe2,feature_rest_diff,feature_host_diff,feature_knockout,feature_round_group,placar_regular_previsto,decisao_penaltis,placar_penaltis,prob_penaltis_equipe1,vencedor_pos_penaltis,criterio_vencedor,status_previsao,usa_desempenho_copa,origem_confronto,precisa_recalculo,possui_real,placar_real,vencedor_real
1,2026-06-11,Fase de grupos,A,1.0,México,África do Sul,1.267,0.701,1-0,1,0,México,0.5009,0.2919,0.2072,média,0.0,0,12000,10.24,10.24,0.61,1.7,-0.94,0.6,1.8,12.8182,12.8194,0.0,1.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,2-0,México
2,2026-06-11,Fase de grupos,A,1.0,Coreia do Sul,Tchéquia,1.087,0.997,2-1,2,1,Coreia do Sul,0.3664,0.3053,0.3282,baixa,0.0,1,12000,4.47,4.47,-0.24,-0.08,1.05,1.1,0.6,1.0,4.2489,0.0,1.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2-1,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,2-1,Coreia do Sul
3,2026-06-12,Fase de grupos,B,1.0,Canadá,Bósnia e Herzegovina,1.279,0.774,1-0,1,0,Canadá,0.4878,0.2899,0.2223,média,0.0,2,12000,9.52,9.52,0.66,1.04,1.79,0.83,0.99,2.9091,8.4461,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,1-1,Empate
4,2026-06-12,Fase de grupos,D,1.0,Estados Unidos,Paraguai,1.3,0.665,1-0,1,0,Estados Unidos,0.5201,0.2908,0.1892,média,0.0,3,12000,10.55,10.55,0.65,1.84,0.99,1.13,0.71,8.6364,10.6561,0.0,2.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,4-1,Estados Unidos
5,2026-06-13,Fase de grupos,C,1.0,Haiti,Escócia,0.793,1.203,0-1,0,1,Escócia,0.2417,0.2976,0.4607,baixa,0.0,4,12000,-9.39,-9.39,-1.03,-0.14,-2.81,0.27,-0.92,-9.6364,-8.6767,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,0-1,Escócia
6,2026-06-13,Fase de grupos,D,1.0,Austrália,Turquia,0.784,1.181,0-1,0,1,Turquia,0.2455,0.2981,0.4564,baixa,0.0,5,12000,-6.21,-6.21,-1.48,-0.3,-1.6,-0.37,-0.6,1.0909,-5.9544,0.0,-2.8,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,2-0,Austrália
7,2026-06-13,Fase de grupos,C,1.0,Brasil,Marrocos,1.162,0.882,1-0,1,0,Brasil,0.4249,0.3085,0.2666,baixa,0.0,6,12000,4.22,4.22,0.33,0.83,0.61,0.17,0.55,2.0,4.8367,0.0,3.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,1-1,Empate
8,2026-06-13,Fase de grupos,B,1.0,Catar,Suíça,0.903,1.208,0-1,0,1,Suíça,0.2784,0.2983,0.4233,baixa,0.0,7,12000,-7.51,-7.51,-0.43,-0.31,-0.58,0.34,0.72,-26.2727,-8.1506,-1.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0-1,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,1-1,Empate
9,2026-06-14,Fase de grupos,E,1.0,Costa do Marfim,Equador,1.001,0.937,1-0,1,0,Costa do Marfim,0.3573,0.3126,0.3301,baixa,0.0,8,12000,1.8,1.8,-0.63,0.66,1.02,0.47,-0.18,4.4545,0.6328,-1.0,-1.8,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,1-0,Costa do Marfim
10,2026-06-14,Fase de grupos,E,1.0,Alemanha,Curaçao,1.209,0.762,1-0,1,0,Alemanha,0.4725,0.298,0.2295,média,0.0,9,12000,9.6,9.6,0.22,1.24,0.04,0.47,0.65,9.1818,12.32,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,7-1,Alemanha
11,2026-06-14,Fase de grupos,F,1.0,Países Baixos,Japão,1.127,0.886,1-0,1,0,Países Baixos,0.4135,0.2993,0.2872,baixa,0.0,10,12000,2.38,2.38,0.25,1.11,-1.26,0.37,0.14,3.9091,3.9444,-1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1-0,Não,,,,Tempo regulamentar/modelado,Real validado,Sim,Tabela base,Não,Sim,2-2,Empate
