ID jogo;Data;Jogo;Jogador;Seleção;Tipo de desempenho;Detalhe pesquisado;Fonte
1;2026-06-11;México 2-0 África do Sul;Julián Quiñones;México;Gol/Destaque;Abriu o placar e participou do domínio ofensivo mexicano.;https://www.si.com/soccer/mexico-player-ratings-2-0-win-south-africa
1;2026-06-11;México 2-0 África do Sul;Raúl Jiménez;México;Gol;Marcou o segundo gol e consolidou a vitória.;https://www.si.com/soccer/mexico-player-ratings-2-0-win-south-africa
1;2026-06-11;México 2-0 África do Sul;Jogadores expulsos da África do Sul;África do Sul;Disciplina negativa;Três expulsões prejudicaram reação e organização da equipe.;https://www.theguardian.com/football/live/2026/jun/11/mexico-v-south-africa-world-cup-2026-opening-game-live
2;2026-06-11;República da Coreia 2-1 Tchéquia;Ladislav Krejčí;Tchéquia;Gol;Abriu o placar para a Tchéquia.;https://www.theguardian.com/football/2026/jun/11/south-korea-czech-republic-world-cup-2026-match-report
2;2026-06-11;República da Coreia 2-1 Tchéquia;Hwang In-beom;República da Coreia;Gol + assistência;Empatou e depois serviu Oh Hyeon-gyu no gol da virada.;https://www.theguardian.com/football/2026/jun/11/south-korea-czech-republic-world-cup-2026-match-report
2;2026-06-11;República da Coreia 2-1 Tchéquia;Oh Hyeon-gyu;República da Coreia;Gol/Destaque de banco;Entrou e marcou o gol da vitória.;https://www.theguardian.com/football/2026/jun/11/south-korea-czech-republic-world-cup-2026-match-report
3;2026-06-12;Canadá 1-1 Bósnia e Herzegovina;Jovo Lukić;Bósnia e Herzegovina;Gol;Marcou aos 21 minutos e deu vantagem à Bósnia.;https://www.si.com/soccer/canada-player-ratings-1-1-draw-bosnia-and-herzegovina
3;2026-06-12;Canadá 1-1 Bósnia e Herzegovina;Cyle Larin;Canadá;Gol;Empatou aos 78 minutos.;https://www.si.com/soccer/canada-player-ratings-1-1-draw-bosnia-and-herzegovina
3;2026-06-12;Canadá 1-1 Bósnia e Herzegovina;Maxime Crépeau;Canadá;Defesa/Destaque;Teve atuação elogiada e defesa importante em mano a mano.;https://www.si.com/soccer/canada-player-ratings-1-1-draw-bosnia-and-herzegovina
3;2026-06-12;Canadá 1-1 Bósnia e Herzegovina;Stephen Eustáquio;Canadá;Liderança;Capitaneou e organizou o meio canadense.;https://www.si.com/soccer/canada-player-ratings-1-1-draw-bosnia-and-herzegovina
4;2026-06-12;Estados Unidos 4-1 Paraguai;Folarin Balogun;Estados Unidos;2 gols;Marcou duas vezes no primeiro tempo e foi o principal finalizador.;https://www.foxsports.com/stories/soccer/usmnt-player-ratings-usa-4-1-paraguay
4;2026-06-12;Estados Unidos 4-1 Paraguai;Gio Reyna;Estados Unidos;Gol/Destaque;Entrou/participou tarde e marcou nos acréscimos.;https://www.socceramerica.com/usa-paraguay-fifa-world-cup-player-ratings/
4;2026-06-12;Estados Unidos 4-1 Paraguai;Alex Freeman;Estados Unidos;Destaque;Recebeu avaliação alta pela atuação completa.;https://www.foxsports.com/stories/soccer/usmnt-player-ratings-usa-4-1-paraguay
4;2026-06-12;Estados Unidos 4-1 Paraguai;Christian Pulisic;Estados Unidos;Criação;Teve influência ofensiva no ritmo e nas associações.;https://www.foxsports.com/stories/soccer/usmnt-player-ratings-usa-4-1-paraguay
4;2026-06-12;Estados Unidos 4-1 Paraguai;Mauricio;Paraguai;Gol;Marcou o gol paraguaio aos 73 minutos.;https://www.socceramerica.com/usa-paraguay-fifa-world-cup-player-ratings/
5;2026-06-13;Catar 1-1 Suíça;Breel Embolo;Suíça;Gol;Converteu pênalti aos 17 minutos.;https://www.theguardian.com/football/2026/jun/13/qatar-switzerland-world-cup-2026-match-report
5;2026-06-13;Catar 1-1 Suíça;Miro Muheim;Suíça;Gol contra;Foi creditado com gol contra nos acréscimos.;https://www.theguardian.com/football/2026/jun/13/qatar-switzerland-world-cup-2026-match-report
5;2026-06-13;Catar 1-1 Suíça;Homam Ahmed;Catar;Construção do gol;Cruzamento originou o lance do empate.;https://www.theguardian.com/football/2026/jun/13/qatar-switzerland-world-cup-2026-match-report
5;2026-06-13;Catar 1-1 Suíça;Boualem Khoukhi;Catar;Pressão ofensiva;Pressionou Muheim no lance do empate.;https://www.theguardian.com/football/2026/jun/13/qatar-switzerland-world-cup-2026-match-report
6;2026-06-13;Brasil 1-1 Marrocos;Ismael Saibari;Marrocos;Gol;Abriu o placar para Marrocos.;https://www.theguardian.com/football/2026/jun/13/brazil-morocco-world-cup-2026-match-report
6;2026-06-13;Brasil 1-1 Marrocos;Brahim Díaz;Marrocos;Assistência;Participou do lance do gol marroquino.;https://www.theguardian.com/football/2026/jun/13/brazil-morocco-world-cup-2026-match-report
6;2026-06-13;Brasil 1-1 Marrocos;Vinícius Jr.;Brasil;Gol/Destaque;Cortou para dentro e finalizou no alto para empatar.;https://www.theguardian.com/football/2026/jun/13/brazil-morocco-world-cup-2026-match-report
6;2026-06-13;Brasil 1-1 Marrocos;Bruno Guimarães;Brasil;Assistência;Serviu Vinícius Jr. no gol brasileiro.;https://www.theguardian.com/football/2026/jun/13/brazil-morocco-world-cup-2026-match-report
7;2026-06-13;Haiti 0-1 Escócia;John McGinn;Escócia;Gol decisivo;Marcou o gol que deu à Escócia sua primeira vitória em Copa desde 1990.;https://www.skysports.com/football/news/11095/13549488/world-cup-2026-scotland-1-0-haiti-john-mcginn-scores-winner-as-steve-clarkes-side-secure-first-win-since-1990
8;2026-06-14;Austrália 2-0 Turquia;Nestory Irankunda;Austrália;Gol/Destaque;Marcou em jogada individual e tornou-se o australiano mais jovem a marcar em Copa.;https://www.theguardian.com/football/2026/jun/14/australia-turkey-player-ratings-world-cup-2026
8;2026-06-14;Austrália 2-0 Turquia;Connor Metcalfe;Austrália;Gol;Fez o segundo gol australiano.;https://www.theguardian.com/football/2026/jun/14/australia-turkey-player-ratings-world-cup-2026
8;2026-06-14;Austrália 2-0 Turquia;Patrick Beach;Austrália;Goleiro/Destaque;Fez defesas importantes e sustentou o clean sheet.;https://www.theguardian.com/football/2026/jun/14/australia-turkey-player-ratings-world-cup-2026
8;2026-06-14;Austrália 2-0 Turquia;Arda Güler;Turquia;Criação/Destaque rival;Foi o melhor turco nas avaliações públicas consultadas.;https://www.theguardian.com/football/2026/jun/14/australia-turkey-player-ratings-world-cup-2026
9;2026-06-14;Alemanha 7-1 Curaçao;Kai Havertz;Alemanha;2 gols;Marcou duas vezes, incluindo cobrança de pênalti.;https://www.espn.com/soccer/report/_/gameId/773857
9;2026-06-14;Alemanha 7-1 Curaçao;Deniz Undav;Alemanha;Gol + assistência;Entrou/participou da goleada com gol e assistência.;https://www.espn.com/soccer/report/_/gameId/773857
9;2026-06-14;Alemanha 7-1 Curaçao;Jamal Musiala;Alemanha;Gol;Marcou em vitória dominante.;https://www.espn.com/soccer/report/_/gameId/773857
9;2026-06-14;Alemanha 7-1 Curaçao;Nico Schlotterbeck;Alemanha;Gol;Contribuiu no placar em lance de bola parada/defensivo.;https://www.espn.com/soccer/report/_/gameId/773857
9;2026-06-14;Alemanha 7-1 Curaçao;Nathaniel Brown;Alemanha;Gol;Fez um dos gols da goleada.;https://www.espn.com/soccer/report/_/gameId/773857
